ID,Category,Fact
1,ID Verification,The legal drinking age is 21 in all 50 U.S. states.
2,ID Verification,Government-issued photo IDs are the only acceptable form of age verification.
3,ID Verification,An expired ID is not valid for alcohol service — no exceptions.
4,ID Verification,Best practice is to card every guest regardless of apparent age.
5,ID Verification,A vertical ID does not mean the person is currently under 21 — check the birthdate.
6,ID Verification,ID scanners verify the ID but cannot confirm the person holding it is the legitimate owner.
7,ID Verification,Photocopies of IDs are never acceptable — only original government-issued documents.
8,ID Verification,When in doubt about an ID always involve a manager.
9,ID Verification,Foreign passports are acceptable forms of ID for age verification.
10,ID Verification,A guest who leaves their ID at home must be refused service — no exceptions.
11,ID Verification,Splits in the lamination are a common sign of a fake or altered ID.
12,ID Verification,Always compare the photo on the ID to the person presenting it.
13,ID Verification,Many states issue vertical IDs to people under 21 at the time of issue.
14,ID Verification,Temporary paper driver's licenses issued by the DMV are valid for age verification.
15,ID Verification,Consistent carding removes subjectivity and protects you legally.
16,Signs of Intoxication,Slurred speech is one of the most reliable physical signs of intoxication.
17,Signs of Intoxication,Loss of coordination is a primary sign that alcohol is affecting the nervous system.
18,Signs of Intoxication,Bloodshot or glassy eyes can indicate intoxication when combined with other signs.
19,Signs of Intoxication,A guest who becomes louder and more talkative may be showing early signs of intoxication.
20,Signs of Intoxication,Alcohol lowers inhibitions by affecting the prefrontal cortex which controls judgment.
21,Signs of Intoxication,A shift from energetic to suddenly quiet and drowsy is a significant intoxication warning sign.
22,Signs of Intoxication,Repetitive speech and behavior are behavioral signs of intoxication affecting short-term memory.
23,Signs of Intoxication,Responsible service requires monitoring guests from the very first drink.
24,Signs of Intoxication,Visible intoxication means observable signs a reasonable trained server would recognize.
25,Signs of Intoxication,High tolerance can allow a guest to appear sober at BAC levels that would impair most people.
26,Signs of Intoxication,A guest spilling their drink or having trouble holding a glass may be losing fine motor control.
27,Signs of Intoxication,Aggression and argumentative behavior are behavioral signs of alcohol-impaired judgment.
28,Signs of Intoxication,You do not need a guest to admit intoxication before taking responsible service action.
29,Signs of Intoxication,Track both the number of drinks and the time elapsed to assess intoxication accurately.
30,Signs of Intoxication,A guest switching to larger or stronger drinks may be intentionally seeking faster intoxication.
31,BAC & Physiology,BAC stands for Blood Alcohol Concentration — the percentage of alcohol in the bloodstream.
32,BAC & Physiology,The legal BAC limit for driving in most U.S. states is 0.08%.
33,BAC & Physiology,The liver processes approximately one standard drink per hour — nothing speeds this up.
34,BAC & Physiology,Coffee does not sober a person up — it just makes an alert drunk.
35,BAC & Physiology,A standard drink contains 0.6 ounces of pure alcohol.
36,BAC & Physiology,12 ounces of beer equals 5 ounces of wine equals 1.5 ounces of spirits — all one standard drink.
37,BAC & Physiology,Body weight is one of the most significant factors affecting how quickly BAC rises.
38,BAC & Physiology,Women typically reach a higher BAC than men of the same weight drinking the same amount.
39,BAC & Physiology,Food in the stomach slows alcohol absorption — but only if eaten before or during drinking.
40,BAC & Physiology,Carbonated drinks speed alcohol absorption by accelerating passage into the small intestine.
41,BAC & Physiology,BAC typically peaks 30 to 90 minutes after the last drink.
42,BAC & Physiology,A guest can continue to become more impaired after they stop drinking.
43,BAC & Physiology,Body fat does not absorb alcohol — it stays in the bloodstream until processed by the liver.
44,BAC & Physiology,Divide proof by 2 to get alcohol percentage — 80-proof vodka is 40% alcohol.
45,BAC & Physiology,Older adults metabolize alcohol more slowly resulting in higher BAC from the same amount.
46,BAC & Physiology,Medication interactions can significantly amplify the effects of alcohol.
47,BAC & Physiology,A 160-pound man drinking five beers in one hour has an approximate BAC of 0.10%.
48,BAC & Physiology,Exercise does not speed up alcohol elimination — only time reduces BAC.
