ID,Type,Category,Content,MustHave
1,Tip,General,When you see the word immediately in a question on the alcohol exam it almost always points to the correct answer. The exam loves urgency — especially around calling 911 and refusing service.,1
2,Tip,General,Read every answer choice before selecting one. The alcohol exam frequently includes answers that are partially correct but not the best answer.,1
3,Tip,General,When two answers seem correct ask yourself which one better protects the guest and the public. The more protective answer is almost always right.,1
4,Tip,General,The exam favors the most cautious answer. When in doubt choose the option that best protects the guest or prevents harm.,1
5,Tip,General,Questions about what to do first almost always have the same answer — act to prevent harm and involve a manager.,1
6,Tip,General,If a question asks what a server should do the answer almost always involves monitoring slowing service or involving a manager — not ignoring the situation.,1
7,Trap,General,The exam will offer continue serving as an answer when a guest shows signs of intoxication. It is never correct once observable signs are present.,1
8,Trap,General,The exam loves to offer the guest seems fine as a distractor. A guest's self-assessment is not a reliable indicator of intoxication.,1
9,Tip,General,On true or false questions read carefully for absolute words like always never all or none. These are often traps on alcohol service questions.,0
10,Tip,General,When the exam asks about liability the answer almost always points to consistent responsible service and documentation as the best protection.,1
11,Tip,ID Verification,Any question asking about acceptable ID will always have government-issued photo ID as the correct answer. Student IDs employer badges and membership cards are always wrong.,1
12,Tip,ID Verification,When the exam asks about expired IDs remember — expired means invalid. No grace period no recent exception. Expired is expired.,1
13,Trap,ID Verification,The exam will offer serve them if they look old enough as a distractor when a guest has no ID. It is never correct. Apparent age is not an acceptable standard.,1
14,Trap,ID Verification,The exam will suggest trusting an ID scanner as the final verification step. Scanners verify the ID not the identity. The photo check is still required.,1
15,MemoryHook,ID Verification,PBES — Photo Birthdate Expiration Security. That is the order to check an ID. Photo first to confirm identity then birthdate for age then expiration for validity then security features for authenticity.,1
16,Tip,ID Verification,Vertical IDs are a common trap. A vertical ID does not mean the person is currently under 21. Always calculate their age from the birthdate — they may have since turned 21.,1
17,Scenario,ID Verification,A guest hands you an ID where the photo looks slightly off but the birthdate is valid. What do you do? Ask for a second form of ID and involve a manager if still uncertain. Never accept questionable ID without further verification.,1
