ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty
1,SSA-1.1,What is the legal drinking age in the United States?,18,19,21,25,3,ID Verification,Legal Age,The legal drinking age in the United States is 21 under the National Minimum Drinking Age Act of 1984.,0,1
2,SSA-1.2,Which document is considered the most reliable form of ID for verifying age?,Library card,Student ID,Government-issued photo ID,Employer ID badge,3,ID Verification,Acceptable ID,Government-issued photo IDs such as a driver's license or passport are the most reliable because they are difficult to forge and contain verifiable information.,0,1
3,SSA-1.3,When checking an ID what should you look for first?,The expiration date,The photo,The name,The birthdate,2,ID Verification,ID Checking,The photo should be checked first to confirm the person presenting the ID matches the person on the document.,0,2
4,SSA-1.4,A guest presents an ID that appears altered. What should you do?,Accept it if the photo matches,Ask a manager for guidance,Call the police immediately,Return it without comment,2,ID Verification,Altered ID,If an ID appears altered or tampered with you should involve a manager. Accepting a questionable ID could expose you and your establishment to legal liability.,0,2
5,SSA-1.5,Which of the following is NOT an acceptable form of ID for verifying age?,State driver's license,U.S. passport,Military ID,Gym membership card,4,ID Verification,Acceptable ID,Gym membership cards are not government-issued and cannot be used to verify age. Acceptable IDs include driver's licenses passports and military IDs.,0,1
6,SSA-1.6,How should you handle a situation where a guest claims they left their ID at home?,Serve them if they look old enough,Ask them to return with their ID,Ask another guest to vouch for them,Serve them one drink only,2,ID Verification,No ID,If a guest does not have ID you must refuse service. No exceptions. Estimating age is not a reliable or legal method of verification.,0,2
7,SSA-1.7,What does it mean when an ID is expired?,It is still valid for age verification,It cannot be used as valid ID,It is only valid if less than one year old,It is valid if the photo still matches,2,ID Verification,Expired ID,An expired ID is not valid for alcohol service. Expiration indicates the document is no longer current and cannot be legally relied upon.,0,2
8,SSA-1.8,A guest presents a passport from another country. What should you do?,Refuse it since it is foreign,Accept it as valid ID,Only accept U.S. passports,Ask for a second ID,2,ID Verification,Foreign ID,Foreign passports are government-issued documents and are acceptable for age verification. You should check the birthdate carefully.,0,2
9,SSA-1.9,What is the purpose of a secondary ID check?,To verify that the primary ID is not stolen,To confirm the guest is a regular customer,To satisfy a two-drink minimum policy,To check the guest's credit,1,ID Verification,Secondary ID,A secondary ID can help confirm that the person presenting the ID is the legitimate owner. It adds a layer of verification.,0,3
10,SSA-1.10,At what age does a guest not need to be carded according to most responsible service guidelines?,Never — all guests should be carded,Only guests over 50,Guests who are clearly over 30,Guests who are regulars,1,ID Verification,Carding Policy,Best practice is to card every guest regardless of apparent age. Consistent carding protects your establishment and removes judgment from the equation.,0,2
11,SSA-1.11,A guest presents an ID where the birthdate makes them exactly 21 today. Should you serve them?,No — they must be at least 21 for 30 days,Yes — they are exactly 21 and legal to drink,No — they must present two forms of ID,Yes — but only beer and wine,2,ID Verification,Exact Birthday,A guest who is exactly 21 years old today is of legal drinking age and may be served. The law is effective on the 21st birthday.,0,2
12,SSA-1.12,What information on an ID helps you calculate the guest's age?,Address,Height,Date of birth,Eye color,3,ID Verification,ID Reading,The date of birth is used to calculate the guest's current age and confirm they meet the minimum legal drinking age.,0,1
13,SSA-1.13,A guest shows you an ID that belongs to someone else. What is this called?,Age fraud,Identity theft,Impersonation,All of the above,4,ID Verification,Fake ID,Using another person's ID to obtain alcohol is identity fraud and can result in criminal charges for the guest and liability for the server.,0,2
14,SSA-1.14,Which security feature on a driver's license helps verify authenticity?,The lamination,A hologram or UV feature,The font style,The color of the card,2,ID Verification,ID Security Features,Most modern driver's licenses include holograms ultraviolet features and microprinting that are difficult to replicate and help verify authenticity.,0,3
15,SSA-1.15,What should you do if you are unsure whether an ID is valid?,Serve the guest and note the time,Ask a manager or supervisor,Make your best guess,Ask the guest if it is real,2,ID Verification,Uncertain ID,When in doubt always involve a manager or supervisor. The responsibility is shared and it protects both you and the establishment.,0,2
