ScenarioId,Category,Difficulty,ServSafeVersion,Scenario,Choice1,Choice2,Choice3,CorrectChoice,Explanation
1,ID Verification,1,3,A guest hands you a driver's license. The photo looks like them and the birthdate shows they are 22. The expiration date was two months ago. What should you do?,Accept it — the photo matches and they are old enough,Refuse service — the ID is expired and no longer valid,Accept it — it only expired two months ago,2,An expired ID is not valid for alcohol service regardless of how recently it expired. An expired ID is no longer a government-recognized document. Refuse service and ask for a current valid ID.
2,ID Verification,1,3,A guest says they left their wallet at home but they are clearly a regular customer you have served many times. What do you do?,Serve them — you know they are over 21,Refuse service — no ID means no alcohol service,Serve them one drink as a courtesy,2,Knowing a guest does not substitute for ID verification. No ID means no alcohol service. This protects you legally and is the standard required by responsible service law.
3,ID Verification,2,3,A guest presents a vertical driver's license. They appear to be in their mid-twenties. What is the correct action?,Refuse service — vertical IDs are for people under 21,Calculate their age from the birthdate — they may now be 21 or older,Ask for a second ID before serving,2,A vertical ID does not automatically mean the person is currently under 21. Many states issue vertical IDs to people under 21 at the time of issue. Always calculate the current age from the birthdate.
4,ID Verification,2,3,You check a guest's ID and notice a slight bump in the lamination near the birthdate. The rest of the ID looks normal. What do you do?,Accept it — one small imperfection is not suspicious,Involve a manager and do not serve until the ID is verified,Refuse service and confiscate the ID,2,A bump in the lamination near the birthdate is a common sign of alteration. Involve a manager. You should not confiscate IDs — that is law enforcement's role — but you should not serve until a manager has assessed the situation.
5,Signs of Intoxication,1,3,A guest who has been at your bar for two hours has become noticeably louder ordering rounds for the whole table and making jokes that are becoming increasingly inappropriate. What does this suggest?,They are in a good mood — continue serving normally,These are behavioral signs of intoxication — begin monitoring more closely and consider slowing service,Ask them to leave immediately,2,Increased volume inappropriate behavior and loss of social inhibitions are behavioral signs that alcohol is affecting judgment. Begin monitoring closely and slow service — do not wait for physical signs to appear.
6,Signs of Intoxication,2,3,A guest who appeared completely sober when they arrived an hour ago is now having trouble keeping their balance and has knocked over their drink twice. What should you do?,Assume they are clumsy and continue serving,Recognize these as physical signs of intoxication and stop serving alcohol,Ask if they are okay and then bring them another drink,2,Loss of balance and difficulty holding objects are physical signs of intoxication. Once observable signs are present you must stop serving alcohol. The guest's earlier sobriety does not override current signs.
7,Signs of Intoxication,2,3,A guest insists they have only had one drink and that they are completely fine. However you have noticed slurred speech and they are leaning on the bar for support. What takes priority?,The guest's self-assessment — they know how they feel,Your direct observation of physical signs — observable signs override self-reporting,Ask a coworker's opinion before deciding,2,A guest's self-report never overrides observable physical signs of intoxication. Slurred speech and loss of balance are clear indicators. Your professional observation is the standard — not the guest's claim.
8,BAC & Physiology,1,3,A guest has had four standard drinks over the past hour. They ask for a coffee saying it will sober them up before they drive. What do you tell them?,That is a great idea — coffee will help clear their head,Coffee does not reduce BAC — only time does. You should also offer to call them a ride.,Give them the coffee and let them decide when they feel ready,2,Coffee does not reduce BAC. It can mask drowsiness but the person remains impaired. The liver processes approximately one standard drink per hour — nothing speeds this up. Offer alternative transportation.
9,BAC & Physiology,2,3,A 120-pound woman and a 220-pound man have each had three beers in the past hour. The man says the woman seems fine so she must be okay to drive. Is he right?,Yes — she seems fine so she is probably okay,No — body weight significantly affects BAC. The woman likely has a much higher BAC than the man from the same amount.,Only if she passes a sobriety test,2,Body weight is one of the most significant factors affecting BAC. A 120-pound woman will have a substantially higher BAC than a 220-pound man drinking the same amount. Appearing fine is not a reliable indicator — especially with high tolerance.
10,Intervention & Refusal,1,3,A guest shows signs of intoxication and you decide to stop serving them alcohol. They become upset and loudly demand another drink saying they are a paying customer. What do you do?,Give them one more drink to calm the situation,Stay calm maintain your position and involve a manager,Apologize and serve them to avoid a scene,2,Do not reverse a refusal under social pressure. Staying calm involving a manager and holding your position is the correct response. Giving in creates legal liability and does not address the safety issue.
